reg,opus,epoch,val_loss,val_acc,loss,acc
0.001,18,1,33060.40262340419,1217.5756861970385,35075.97731550535,996.9618055555557
0.001,18,2,33018.35296145316,1217.5756861970385,34738.680839538574,1021.7013888888888
0.001,18,3,32868.859323192526,1217.5756861970385,34569.28869750765,1034.7222222222222
0.001,18,4,32690.050809596,1217.5756861970385,34504.47276565763,1032.5520833333335
0.001,18,5,32783.09858752471,1217.5756861970385,34441.48911039034,1032.1180555555557
0.001,59,0,22697.131547939007,584.1536247227921,23793.502204992572,695.9407480011547
0.001,59,1,22389.043535673267,584.1536247227921,22534.680477427242,727.3607533164251
0.001,59,2,22337.70578521043,584.1536247227921,22413.028260299467,743.1944568045659
0.001,59,3,22360.14428639459,584.1536247227921,22332.625600818716,746.6580794393709
0.001,59,4,22348.195149680225,584.1536247227921,22254.36022572273,742.4522519358178
0.001,59,5,22328.48907423097,584.1536247227921,22209.06342804321,741.7100470891888
0.001,74,0,5907.748808872739,214.54653471350275,6476.926622852753,184.84607274901037
0.001,74,1,5882.728789933838,214.54653471350275,6173.523420246136,189.9024776047666
0.001,74,2,5867.910829254818,214.54653471350275,6133.874189451234,190.59198735101353
0.001,74,3,5822.375724475533,214.54653471350275,6108.7412536459715,192.25830258816305
0.001,74,4,5822.93826259229,214.54653471350275,6101.056363043938,191.7411702808325
0.001,74,5,5812.29358735541,214.54653471350275,6099.25638680918,191.85608856687904
0.001,95,0,6015.121185276618,103.8865416213427,5420.60158910488,158.41302481949677
0.001,95,1,6018.342660563651,103.8865416213427,5166.85144426735,163.0311998564531
0.001,95,2,5984.956541271092,103.8865416213427,5127.837669616574,165.0516514289388
0.001,95,3,6011.621127574842,103.8865416213427,5105.85322804669,167.60126889488393
0.001,95,4,6092.852717084691,103.8865416213427,5096.883420833436,165.67702929794422
0.001,95,5,6061.023955269785,103.8865416213427,5094.389989213105,166.54293711800074
0.005,127,0,9365.311343976706,278.3787330316742,9777.392391142113,268.6187990565673
0.005,127,1,9369.066230393966,278.3787330316742,8972.099884753197,277.1204809998564
0.005,127,2,9385.87934760055,278.3787330316742,8952.191046129821,282.1012643583222
0.005,127,3,9354.396429360939,278.3787330316742,8938.338526413556,281.24250860686254
0.005,127,4,9377.508538823537,278.3787330316742,8933.693753387884,282.78826895948987
0.005,127,5,9352.639911341992,278.3787330316742,8929.05704073843,279.6108726752503
0.005,130,0,9354.664405754635,378.6830357142857,11004.725422922129,291.7733999765707
0.005,130,1,9379.379613058909,378.6830357142857,10095.421099595053,304.3373423405834
0.005,130,2,9327.172008582524,378.6830357142857,10074.993636693403,302.8876566831974
0.005,130,3,9317.423657860074,236.04910714285714,10057.292559403932,310.1360849708478
0.005,130,4,9347.06017460142,378.6830357142857,10054.355403138667,304.9172166042579
0.005,130,5,9396.57018184662,236.04910714285714,10049.290955635519,307.4300050763404
0.005,131,0,10289.406059908511,337.4471417683802,11333.160010254995,305.86210275745714
0.005,131,1,10239.736846258793,337.4471417683802,10406.145671968236,318.32575728338355
0.005,131,2,10307.339668592254,337.4471417683802,10379.58229301459,323.5524511193489
0.005,131,3,10306.917018177179,337.4471417683802,10375.335658647744,324.5575845553333
0.005,131,4,10305.438245278183,337.4471417683802,10359.794454824178,323.75347781583196
0.005,131,5,10293.721568802881,337.4471417683802,10359.203875836187,325.6632313223349
0.005,132,0,10996.141062357245,277.25247548702527,10649.57444694866,296.10374673547284
0.005,132,1,10994.53497575848,277.25247548702527,9759.500949152534,309.01497135098526
0.005,132,2,11000.321978720105,277.25247548702527,9735.355091509082,310.1541970454265
0.005,132,3,11027.70645188813,277.25247548702527,9724.856612022832,304.17326211583577
0.005,132,4,11093.909348080264,277.25247548702527,9712.281924716826,312.5275839214005
0.005,132,5,11086.581919980124,277.25247548702527,9698.845140847403,310.43900347699406
0.005,135,0,6356.998129594033,236.7198934261591,6665.075173819833,182.11305984277607
0.005,135,1,6362.24803964979,236.7198934261591,6120.320180143213,187.35536319836217
0.005,135,2,6402.369184668193,236.7198934261591,6108.384351501422,187.24140007527288
0.005,135,3,6418.247719079434,236.7198934261591,6101.1460992810935,187.81121565675576
0.005,135,4,6446.947931735736,236.7198934261591,6092.340973165999,187.86819721575313
0.005,135,5,6408.389042548791,236.7198934261591,6089.1132984257565,189.3497177335522
0.005,18,0,33493.2652093564,1217.5756861970385,38936.109469996554,970.9201388888889
0.005,18,1,33284.57552126487,1217.5756861970385,35051.834868060214,1003.4722222222222
0.005,18,2,33170.773152510796,1217.5756861970385,34909.65391861068,999.5659722222223
0.005,18,3,33315.68017191567,1217.5756861970385,34871.879875659935,1013.4548611111112
0.005,18,4,33231.44280310865,1217.5756861970385,34836.63484123019,1025.173611111111
0.005,18,5,33167.022387935634,1217.5756861970385,34810.67823370297,1035.15625
0.005,59,0,22714.861336272912,584.1536247227921,24874.923275330984,700.3939770827707
0.005,59,1,22624.16098268239,605.19517906368,22583.200547562577,729.5873678618416
0.005,59,2,22604.641166220983,584.1536247227921,22514.265127355677,747.1528826544817
0.005,59,3,22642.272780344716,584.1536247227921,22484.22034621757,746.6580794209381
0.005,59,4,22667.839643661013,584.1536247227921,22479.76451327557,740.9678422351869
0.005,59,5,22522.327950811796,584.1536247227921,22447.519733570098,745.421071355512
0.005,59,6,22593.64198632153,584.1536247227921,22429.636862907653,749.874300437128
0.005,74,0,5924.2056460065805,214.54653471350275,6742.028690429378,185.8228782407692
0.005,74,1,5918.781882255227,214.54653471350275,6197.226951350271,191.91354771889254
0.005,74,2,5938.81109776135,214.54653471350275,6187.054531436251,192.4881391701027
0.005,74,3,5921.355723578387,214.54653471350275,6179.129390705995,193.98207696876398
0.005,74,4,5896.216351933998,214.54653471350275,6175.649710006693,192.31576173760794
0.005,74,5,5921.548109881398,214.54653471350275,6170.46851145775,192.94781233783482
0.005,95,0,6035.185536819632,103.8865416213427,5640.577317274229,161.53991416309012
0.005,95,1,6041.348240921755,103.8865416213427,5183.164502894812,164.1857436103159
0.005,95,2,6053.425261173636,103.8865416213427,5171.4231024704395,166.06187721733212
0.005,95,3,6066.803649191193,103.8865416213427,5165.743562150914,166.831573056108
0.005,95,4,6077.328202177474,103.8865416213427,5161.019363030606,165.72513528643407
0.005,95,5,6122.28751040699,103.8865416213427,5156.51826933026,166.4948311266436
0.01,127,0,9475.86030058796,278.3787330316742,10192.631922012313,271.1950663147851
0.01,127,1,9493.878241306622,278.3787330316742,9089.374668360817,280.12612612996503
0.01,127,2,9455.416796824944,278.3787330316742,9062.88409877317,281.3283841820085
